date,ticker,p,rank,train_cutoff
2026-09-21,058610,-0.02574672,282,2025-11-27
2026-09-21,004020,-0.02629668,283,2025-11-27
2026-09-21,417200,-0.02697472,284,2025-11-27
2026-09-21,005830,-0.02712394,285,2025-11-27
2026-09-21,064760,-0.02728243,286,2025-11-27
2026-09-21,000720,-0.02911764,287,2025-11-27
2026-09-21,039030,-0.02931800,288,2025-11-27
2026-09-21,025980,-0.02939978,289,2025-11-27
2026-09-21,052710,-0.03070491,290,2025-11-27
2026-09-21,034020,-0.03110207,291,2025-11-27
2026-09-21,358570,-0.03127475,292,2025-11-27
2026-09-21,067310,-0.03149423,293,2025-11-27
2026-09-21,222800,-0.03203719,294,2025-11-27
2026-09-21,443060,-0.03286545,295,2025-11-27
2026-09-21,053690,-0.03532502,296,2025-11-27
2026-09-21,403870,-0.03586306,297,2025-11-27
2026-09-21,086450,-0.03590823,298,2025-11-27
2026-09-21,010950,-0.03591233,299,2025-11-27
2026-09-21,007660,-0.03645897,300,2025-11-27
2026-09-21,200470,-0.03836807,301,2025-11-27
2026-09-21,332570,-0.03877851,302,2025-11-27
2026-09-21,272210,-0.03892663,303,2025-11-27
2026-09-21,000150,-0.03979743,304,2025-11-27
2026-09-21,083650,-0.04047730,305,2025-11-27
2026-09-21,033640,-0.04090005,306,2025-11-27
2026-09-21,124500,-0.04157433,307,2025-11-27
2026-09-21,005690,-0.04244844,308,2025-11-27
2026-09-21,014620,-0.04281769,309,2025-11-27
2026-09-21,020150,-0.04471852,310,2025-11-27
2026-09-21,119850,-0.04656003,311,2025-11-27
2026-09-21,138080,-0.04657633,312,2025-11-27
2026-09-21,052690,-0.04660937,313,2025-11-27
2026-09-21,131970,-0.04754969,314,2025-11-27
2026-09-21,388050,-0.04767026,315,2025-11-27
2026-09-21,274090,-0.04915716,316,2025-11-27
2026-09-21,389500,-0.04948473,317,2025-11-27
2026-09-21,092870,-0.05115176,318,2025-11-27
2026-09-21,001820,-0.05409782,319,2025-11-27
2026-09-21,036810,-0.05467367,320,2025-11-27
2026-09-21,336260,-0.05519683,321,2025-11-27
2026-09-21,192650,-0.05565302,322,2025-11-27
2026-09-21,030530,-0.05655358,323,2025-11-27
2026-09-21,027360,-0.05747942,324,2025-11-27
2026-09-21,078350,-0.05790444,325,2025-11-27
2026-09-21,036930,-0.05916517,326,2025-11-27
2026-09-21,062040,-0.05937043,327,2025-11-27
2026-09-21,042370,-0.05989714,328,2025-11-27
2026-09-21,240810,-0.06011630,329,2025-11-27
2026-09-21,000880,-0.06062708,330,2025-11-27
2026-09-21,187660,-0.06749703,331,2025-11-27
2026-09-21,229640,-0.06804653,332,2025-11-27
2026-09-21,347700,-0.07308219,333,2025-11-27
2026-09-21,126340,-0.07336814,334,2025-11-27
2026-09-21,232140,-0.07486188,335,2025-11-27
2026-09-21,009150,-0.07659443,336,2025-11-27
2026-09-21,017900,-0.07710167,337,2025-11-27
2026-09-21,000990,-0.07979933,338,2025-11-27
2026-09-21,024060,-0.08127337,339,2025-11-27
2026-09-21,032580,-0.08997120,340,2025-11-27
2026-09-21,327260,-0.11119644,341,2025-11-27
