date,ticker,name,p,rank,train_cutoff
2026-09-23,388210,씨엠티엑스,-0.02813204,281,2025-11-27
2026-09-23,443060,HD현대마린솔루션,-0.02868083,282,2025-11-27
2026-09-23,295310,에이치브이엠,-0.02893374,283,2025-11-27
2026-09-23,052710,아모텍,-0.02933491,284,2025-11-27
2026-09-23,138080,오이솔루션,-0.02954210,285,2025-11-27
2026-09-23,031980,피에스케이홀딩스,-0.03156051,286,2025-11-27
2026-09-23,033640,네패스,-0.03248911,287,2025-11-27
2026-09-23,095340,ISC,-0.03324838,288,2025-11-27
2026-09-23,234340,헥토파이낸셜,-0.03367854,289,2025-11-27
2026-09-23,064760,티씨케이,-0.03371135,290,2025-11-27
2026-09-23,200470,에이팩트,-0.03393118,291,2025-11-27
2026-09-23,388050,지투파워,-0.03466940,292,2025-11-27
2026-09-23,020150,롯데에너지머티리얼즈,-0.03526353,293,2025-11-27
2026-09-23,090460,비에이치,-0.03538110,294,2025-11-27
2026-09-23,122640,예스티,-0.03630300,295,2025-11-27
2026-09-23,096770,SK이노베이션,-0.03652480,296,2025-11-27
2026-09-23,010950,S-Oil,-0.03723648,297,2025-11-27
2026-09-23,100790,미래에셋벤처투자,-0.03732618,298,2025-11-27
2026-09-23,042370,비츠로테크,-0.03761972,299,2025-11-27
2026-09-23,440110,파두,-0.03885637,300,2025-11-27
2026-09-23,084370,유진테크,-0.03918271,301,2025-11-27
2026-09-23,005690,파미셀,-0.03992372,302,2025-11-27
2026-09-23,240810,원익IPS,-0.04030547,303,2025-11-27
2026-09-23,131970,두산테스나,-0.04073651,304,2025-11-27
2026-09-23,033790,피노,-0.04078153,305,2025-11-27
2026-09-23,036810,에프에스티,-0.04093435,306,2025-11-27
2026-09-23,119850,지엔씨에너지,-0.04104662,307,2025-11-27
2026-09-23,456010,아이씨티케이,-0.04124203,308,2025-11-27
2026-09-23,001820,삼화콘덴서,-0.04142018,309,2025-11-27
2026-09-23,059090,미코,-0.04172717,310,2025-11-27
2026-09-23,192650,드림텍,-0.04224168,311,2025-11-27
2026-09-23,336260,두산퓨얼셀,-0.04229371,312,2025-11-27
2026-09-23,078350,한양디지텍,-0.04248246,313,2025-11-27
2026-09-23,000150,두산,-0.04307208,314,2025-11-27
2026-09-23,103590,일진전기,-0.04327250,315,2025-11-27
2026-09-23,003160,디아이,-0.04509300,316,2025-11-27
2026-09-23,095610,테스,-0.04762814,317,2025-11-27
2026-09-23,086450,동국제약,-0.04793648,318,2025-11-27
2026-09-23,222800,심텍,-0.04925574,319,2025-11-27
2026-09-23,232140,와이씨,-0.05382213,320,2025-11-27
2026-09-23,062040,산일전기,-0.05384437,321,2025-11-27
2026-09-23,417840,저스템,-0.05399372,322,2025-11-27
2026-09-23,079370,제우스,-0.05581115,323,2025-11-27
2026-09-23,332570,PS일렉트로닉스,-0.05618396,324,2025-11-27
2026-09-23,187660,페니트리움바이오,-0.05963336,325,2025-11-27
2026-09-23,229640,LS에코에너지,-0.06209545,326,2025-11-27
2026-09-23,000990,DB하이텍,-0.06313226,327,2025-11-27
2026-09-23,030530,원익홀딩스,-0.06486282,328,2025-11-27
2026-09-23,007660,이수페타시스,-0.06643814,329,2025-11-27
2026-09-23,274090,켄코아에어로스페이스,-0.06655676,330,2025-11-27
2026-09-23,032580,피델릭스,-0.06748852,331,2025-11-27
2026-09-23,126340,비나텍,-0.06805433,332,2025-11-27
2026-09-23,347700,스피어,-0.07809713,333,2025-11-27
2026-09-23,024060,흥구석유,-0.08217736,334,2025-11-27
2026-09-23,354320,알멕,-0.08392527,335,2025-11-27
2026-09-23,017900,광전자,-0.09016935,336,2025-11-27
2026-09-23,327260,RF머트리얼즈,-0.09354177,337,2025-11-27
2026-09-23,036930,주성엔지니어링,-0.09666072,338,2025-11-27
2026-09-23,009150,삼성전기,-0.11148326,339,2025-11-27
